index,name,layer,pos_x,pos_y,pos_z,rotation,value,tilt,height,thickness,style,width_ratio,degree,length,end_x,end_y,end_z,delta_x,delta_y,delta_z,start_x,start_y,start_z,pos_x1,pos_y1,pos_z1,width,minor_radius,minor_vector_x,minor_vector_y,minor_vector_z,area,radius_ratio,start_degree,major_radius,major_vector_x,major_vector_y,major_vector_z,centor_point_x,centor_point_y,centor_point_z,close,global_width,associative,radius,total_angle
1,Line,ZST,,,,,,,,0,,,309,4150,83018.5914,50722.588,0,2626.4226,-3213.1611,0,80392.1687,53935.749,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,219,4200,79766.7175,48064.5217,0,-3251.8739,-2658.0663,0,83018.5914,50722.588,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,129,3790,74816.5582,60756.9416,0,-2398.5884,2934.429,0,77215.1466,57822.5125,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,129,12960,71564.6844,58098.8753,0,-8202.0331,10034.3536,0,79766.7175,48064.5217,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,ZST-1,,,,,,,,0,,,,1586.5043,,,,,,,,,,,,,,,,,,291134.6665,,129,,,,,80895.4349,54347.1164,0,,,,1010,90
1,Line,ZST-1,,,,,,,,0,,,129,3790,80113.4367,53707.9148,0,-2398.5884,2934.429,0,82512.0251,50773.4857,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,39,3480,82512.0251,50773.4857,0,2694.4098,2202.3978,0,79817.6153,48571.088,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,309,12600,79817.6153,48571.088,0,7974.1989,-9755.6216,0,71843.4164,58326.7095,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,219,3480,71843.4164,58326.7095,0,-2694.4098,-2202.3978,0,74537.8262,60529.1073,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,129,3790,74537.8262,60529.1073,0,-2398.5884,2934.429,0,76936.4146,57594.6783,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,ZST-1,,,,,,,,0,,,,1586.5043,,,,,,,,,,,,,,,,,,291134.6665,,219,,,,,77718.4128,58233.8799,0,,,,1010,90
1,Line,ZST-1,,,,,,,,0,,,219,3790,78357.6145,57451.8817,0,-2934.429,-2398.5884,0,81292.0435,59850.4701,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,129,3000,81292.0435,59850.4701,0,-1898.6188,2322.767,0,83190.6623,57527.7031,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,39,3790,81292.0435,59850.4701,0,2934.429,2398.5884,0,78357.6145,57451.8817,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST-1,,,,,,,,0,,,39,3790,83190.6623,57527.7031,0,2934.429,2398.5884,0,80256.2333,55129.1147,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,90,480,102424.7209,50596.586,0,0,480,0,102424.7209,50116.586,0,,,,,,,,,,,,,,,,,,,,,,,
1,Ellipse,ZST-1,,,,,,,,,,,,,,,,,,,,,,,,,,1010,-714.1778,-714.1778,0,291134.6645,1,135,1010,-714.1778,714.1778,0,101414.7209,50116.586,0,,,,,
1,Line,ZST,,,,,,,,0,,,129,3720,81342.9413,60357.0364,0,-2354.2873,2880.2311,0,83697.2286,57476.8053,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,ZST,,,,,,,,0,,,39,4150,83697.2286,57476.8053,0,3213.1611,2626.4226,0,80484.0675,54850.3826,0,,,,,,,,,,,,,,,,,,,,,,,
1,Arc,ZST,,,,,,,,0,,,,1021.0176,,,,,,,,,,,,,,,,,,120580.724,,129,,,,,80895.4349,54347.1164,0,,,,650,90
1,Point,Defpoints,83697.2286,57476.8053,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,270,10221.9172,92334.2887,32474.2353,0,0,-10221.9172,0,92334.2887,42696.1525,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,0,3469.9471,134440.3325,69588.0798,0,3469.9471,0,0,130970.3854,69588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,90,7066.2434,92334.2887,96594.3232,0,0,7066.2434,0,92334.2887,89528.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0,,,,,,,,0,,,180,14645.2803,53689.0084,69588.0798,0,-14645.2803,0,0,68334.2887,69588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,PAINT,,,,,,,,0,,,0,30986.0967,130970.3854,69588.0798,0,30986.0967,0,0,99984.2887,69588.0798,0,,,,,,,,,,,,,,,,,,,,,,,
1,Line,PAINT,,,,,,,,0,,,90,19241.9273,92334.2887,42696.1525,0,0,-19241.9273,0,92334.2887,61938.0798,0,,,,,,,,,,,,,,,,,,,,,,,
